47.122.79.223,80,dvr
47.103.219.96,8002,dvr
106.15.197.168,8000,dvr
183.250.170.185,8000,dahua
39.100.233.196,8001,dvr
180.184.132.145,80,dvr
120.53.223.72,8000,dvr
106.53.112.9,80,dvr
117.178.204.50,8005,dahua
47.111.231.11,8000,dvr
39.106.73.103,80,dvr
47.102.154.41,8002,dvr
47.101.218.192,8002,dvr
125.113.132.45,8000,dvr
118.31.59.53,8002,dvr
120.76.230.78,80,dvr
139.155.179.29,8002,dvr
47.111.67.168,8002,dvr
139.9.51.225,8000,dvr
120.46.182.122,80,dvr
101.201.246.242,80,dvr
120.78.207.93,8000,dvr
122.51.211.111,80,dvr
39.105.232.153,80,dvr
114.226.42.120,8003,dvr
8.136.96.118,8001,dvr
119.3.168.253,8000,dvr
47.102.124.212,80,dvr
120.76.240.141,8000,dvr
82.157.22.44,80,dvr
47.108.215.253,8003,dvr
47.111.117.189,80,dvr
59.110.174.77,80,dvr
101.200.208.98,8000,dvr
47.100.18.73,80,dvr
114.55.63.167,80,dvr
101.201.78.170,8000,dvr
60.205.171.136,80,dvr
109.244.159.194,8000,dvr
47.110.236.191,80,dvr
101.126.32.150,80,dvr
47.103.84.158,8006,dvr
8.136.115.58,8002,dvr
175.178.0.62,8000,dvr
121.199.174.192,8000,dvr
47.113.196.163,80,dvr
123.56.96.109,80,dvr
119.45.124.184,8000,dvr
8.149.133.57,80,dvr
82.157.41.130,8000,dvr
121.36.39.84,80,dvr
101.126.18.200,8005,dvr
